Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
65817.94,129.7,-6.643216,-1.822656,-0.068101,-0.179929,-1.099487,9.245419,-4.199984,-0.136779,-3.779674,-2.556913,-0.960233,0.011062,-1.75643,1.870894,-3.590779,-0.392225,5.763448,-0.806733,-0.407421,3.968927,-0.12934,2.089715,0.817028,0.569904,-3.807318,2.269669,-1.196954,1.004227,0
141108.38,138.57,-1.933139,3.398922,0.42977,1.860476,-5.506843,-9.325537,9.971152,0.097795,2.638132,0.109633,1.242686,-5.162102,0.322525,0.822292,-1.151441,1.63187,1.234193,-2.250332,-1.459523,0.433233,1.461877,0.469502,4.35399,2.0544,10.139234,-2.837966,0.473412,-1.819792,0
79951.07,127.67,0.368473,-0.301526,1.03909,-0.533715,5.364811,-0.996544,0.975924,-0.79927,-0.780042,-1.735242,1.500103,3.208885,2.715976,-3.018159,-1.367359,0.10126,-3.45116,2.995099,0.83789,-1.241903,-7.686046,-0.164097,-5.436406,-1.552165,0.478773,1.394419,0.070428,-5.768597,0
61533.51,161.24,-4.665905,-2.360031,0.780498,-0.544541,1.7184,-4.730049,3.837367,0.720262,1.96312,-1.988746,-2.741736,3.233789,-1.433757,1.461083,-0.274199,-0.08513,-1.677069,7.728494,-0.381934,1.75065,1.121813,0.614148,2.101931,-3.583668,-1.86038,-0.747659,2.049311,3.291478,0
164170.71,33.16,6.617083,-0.308059,0.294698,-0.56847,0.07904,-5.188842,-1.685563,-0.647848,-1.959646,-5.169482,0.04688,0.397865,2.139572,3.206221,-1.656764,-0.211061,5.606929,-0.565103,0.043084,-3.131741,4.338128,-0.525443,-1.496829,1.597748,2.927575,-0.756441,-1.327152,-4.607987,0
167524.49,149.16,12.842693,-5.481652,-1.393032,0.214034,-1.053707,11.86611,-7.157258,0.82982,-0.314922,1.273771,-1.221234,5.221138,-0.990936,-1.55012,1.416865,3.3496,0.187152,5.241616,2.275856,-6.752371,-2.979273,0.863974,-3.80091,2.092417,-5.326298,7.913785,-5.203853,-0.524924,0
79926.0,49.34,-3.597417,2.092382,0.602053,-0.331773,-0.727678,-6.394432,-7.513231,-0.387254,-1.421899,-2.442121,-0.852331,-3.967474,-0.301396,1.695538,-0.910625,0.486376,14.086136,0.320647,-0.456472,-3.220759,2.645228,2.205783,2.210872,1.582543,-0.341158,5.283163,3.936847,-0.497686,0
149655.84,275.97,-2.211816,1.083118,-0.827038,0.003962,1.667847,0.86934,1.049209,-0.445829,1.348111,-3.133289,-1.085758,-4.073299,0.92889,3.153337,-0.955206,-0.868312,-4.174752,1.16328,0.441944,-2.481478,-4.307028,0.519033,1.24858,-1.505749,-10.009293,2.232769,-3.883656,0.036636,0
11354.45,137.07,-2.069032,-1.756182,0.744738,1.030317,-0.429452,4.223402,0.670968,-0.65422,1.045984,2.192925,-2.347099,0.619259,-2.142311,-1.365754,0.258319,-0.169348,4.769599,3.783456,-1.176382,0.683557,2.213606,-1.403499,-1.503962,1.094887,-2.640717,4.095928,-0.705744,0.501909,0
89647.02,253.12,-13.042131,-2.70354,0.599228,-0.739924,5.20544,-0.285965,15.812219,-1.006793,4.773882,1.023997,-6.784248,2.270143,-3.213742,-5.407789,-1.749821,0.96847,-8.323104,4.020306,-0.808245,2.149737,1.938899,0.255123,0.019168,0.717657,0.575015,-1.422512,-0.089346,1.305264,0
144961.59,82.56,-1.562543,-3.366035,0.251785,0.422247,0.613646,6.437453,-0.830307,-0.178338,-0.728,2.272119,0.334635,1.351276,-1.317514,1.305073,1.817559,0.656761,-2.936419,-2.311096,-1.545955,2.08669,2.26944,-0.06614,0.662942,3.515406,-3.79128,-0.730935,-0.695028,0.765519,0
133275.52,100.49,0.75262,5.112921,-0.637212,0.526503,1.183124,-15.302434,16.939427,-0.43608,-3.038756,-1.065807,3.254797,2.653171,1.093136,0.928598,3.566912,-0.695818,-13.370022,0.981704,1.087792,5.073381,-4.92876,-1.542682,5.277961,2.480773,4.764733,-7.093083,-1.308786,-4.729615,0
92036.26,117.32,-11.240579,-2.938331,-0.622141,-0.698903,0.841674,4.790765,7.137728,-1.367872,1.898677,1.89824,-5.460897,-2.006646,-0.144754,-0.551013,-1.135671,2.064872,-6.852078,0.194153,-1.49467,4.080792,-0.90793,-0.999172,-1.770773,1.260583,4.659193,-3.894526,1.766494,0.441441,0
