customer_id,age,gender,location,signup_date,tenure_days,plan_type,monthly_price,payment_method,logins_last_7d,logins_last_30d,logins_last_90d,avg_session_duration,total_watch_time_30d,unique_content_30d,days_since_last_login,support_tickets_30d,satisfaction_score,app_rating,social_connections,feature_adoption_rate,payment_failures_6m,plan_changes_12m,billing_disputes,auto_renew_enabled,days_until_renewal,login_frequency_trend,engagement_score,high_support_flag,payment_issue_flag,low_engagement_flag,churn_probability_true,churned,data_date
CUST_000001,18,M,San Diego,2025-10-06,70,Basic,9.99,Credit Card,4,9,41,15.6,25.2,14,0,1,3.4,5.0,7,0.33,0,0,0,1,9,0.4,0.363,0,0,0,0.581,0,2025-12-15
CUST_000002,21,M,San Antonio,2025-03-21,269,Premium,19.99,Bank Transfer,4,11,27,58.6,49.6,20,1,0,5.0,4.8,8,0.2,0,0,0,0,6,0.333,0.528,0,0,0,0.39,0,2025-12-15
CUST_000003,39,M,Phoenix,2025-08-27,110,Basic,9.99,Debit Card,2,11,29,7.9,31.2,10,0,1,3.6,4.5,10,0.37,0,0,0,1,12,0.167,0.411,0,0,0,0.577,0,2025-12-15
CUST_000004,20,M,San Jose,2024-11-25,385,Premium,19.99,Debit Card,1,2,16,15.8,30.1,18,3,0,4.0,4.1,4,0.17,0,2,0,1,2,0.333,0.307,0,0,1,0.576,0,2025-12-15
CUST_000005,48,F,Los Angeles,2025-09-14,92,Premium,19.99,Credit Card,3,11,45,20.5,10.0,25,0,1,5.0,3.4,13,0.38,0,0,0,1,2,0.25,0.346,0,0,0,0.541,0,2025-12-15
CUST_000006,34,F,San Jose,2023-12-16,730,Premium,19.99,Debit Card,0,3,6,50.7,33.9,21,1,0,4.8,4.3,15,0.39,0,0,0,1,26,0.0,0.395,0,0,1,0.457,0,2025-12-15
CUST_000007,36,F,Philadelphia,2025-11-15,30,Premium,19.99,Credit Card,1,6,16,16.7,13.3,2,1,1,3.7,3.7,5,0.19,2,1,1,1,23,0.143,0.186,0,1,0,0.748,1,2025-12-15
CUST_000008,31,F,San Jose,2025-05-15,214,Basic,9.99,Debit Card,0,11,19,30.4,8.7,10,0,0,4.9,3.9,17,0.32,0,0,0,1,3,0.0,0.266,0,0,0,0.418,0,2025-12-15
CUST_000009,44,F,Phoenix,2024-09-26,445,Basic,9.99,Credit Card,1,5,13,22.9,52.7,20,4,0,5.0,4.9,13,0.53,0,0,0,1,22,0.167,0.552,0,0,0,0.389,0,2025-12-15
CUST_000010,44,F,Houston,2025-07-30,138,Basic,9.99,Debit Card,3,11,23,13.2,23.4,29,1,1,4.6,3.0,16,0.73,0,1,0,1,3,0.25,0.512,0,0,0,0.437,0,2025-12-15
CUST_000011,39,M,San Jose,2023-12-16,730,Premium,19.99,PayPal,0,0,3,6.7,17.7,9,1,1,3.5,3.6,3,0.14,0,1,0,1,29,0.0,0.17,0,0,1,0.643,0,2025-12-15
CUST_000012,41,M,Phoenix,2025-05-08,221,Basic,9.99,Credit Card,1,7,27,5.0,36.9,22,0,1,4.2,3.3,11,0.64,0,0,0,1,28,0.125,0.507,0,0,0,0.509,0,2025-12-15
CUST_000013,32,F,Dallas,2025-09-05,101,Standard,14.99,Bank Transfer,3,12,37,41.6,33.1,19,1,0,4.9,3.7,10,0.65,0,0,0,1,1,0.231,0.525,0,0,0,0.352,0,2025-12-15
CUST_000014,41,F,Los Angeles,2025-08-07,130,Basic,9.99,Debit Card,6,9,30,45.6,51.8,20,0,0,3.7,3.6,12,0.72,0,0,0,1,25,0.6,0.625,0,0,0,0.47,0,2025-12-15
CUST_000015,30,M,Philadelphia,2024-12-03,377,Premium,19.99,Credit Card,4,4,16,31.9,52.4,16,3,0,4.6,4.5,13,0.25,0,0,0,1,2,0.8,0.468,0,0,1,0.554,0,2025-12-15
CUST_000016,35,M,Dallas,2024-05-26,568,Standard,14.99,PayPal,1,2,14,12.3,25.4,19,0,0,4.3,4.1,16,0.27,0,1,0,1,23,0.333,0.302,0,0,1,0.568,0,2025-12-15
CUST_000017,31,F,San Jose,2025-07-22,146,Basic,9.99,PayPal,4,8,31,31.7,70.4,25,2,0,4.2,4.1,12,0.49,0,0,0,1,16,0.444,0.7,0,0,0,0.399,0,2025-12-15
CUST_000018,29,M,Phoenix,2025-10-10,66,Premium,19.99,Credit Card,6,18,26,44.5,23.3,12,1,2,4.0,4.3,12,0.36,0,0,0,1,14,0.316,0.44,0,0,0,0.31,0,2025-12-15
CUST_000019,26,M,Philadelphia,2025-10-27,49,Standard,14.99,Debit Card,4,15,52,12.9,17.5,22,2,0,3.9,4.0,13,0.63,0,0,0,1,30,0.25,0.469,0,0,0,0.419,0,2025-12-15
CUST_000020,40,F,San Jose,2025-08-21,116,Basic,9.99,Credit Card,3,15,27,12.1,26.2,15,0,0,2.9,4.4,17,0.28,0,0,0,0,13,0.188,0.423,0,0,0,0.382,0,2025-12-15
CUST_000021,50,F,Houston,2025-10-13,63,Premium,19.99,Credit Card,4,15,38,8.7,23.4,27,0,0,4.4,4.5,7,0.33,0,1,0,0,4,0.25,0.464,0,0,0,0.364,0,2025-12-15
CUST_000022,49,F,Phoenix,2025-09-08,98,Basic,9.99,PayPal,2,2,12,23.4,4.9,10,9,1,3.0,2.9,3,0.35,1,0,0,0,15,0.667,0.159,0,1,1,0.885,1,2025-12-15
CUST_000023,19,F,San Diego,2025-01-26,323,Standard,14.99,Credit Card,2,10,16,12.0,11.1,18,1,1,4.6,5.0,11,0.35,0,0,1,1,9,0.182,0.309,0,0,0,0.419,0,2025-12-15
CUST_000024,50,F,New York,2025-08-23,114,Standard,14.99,Bank Transfer,3,15,31,39.4,12.5,20,5,0,5.0,5.0,8,0.35,0,0,0,0,23,0.188,0.375,0,0,0,0.418,0,2025-12-15
CUST_000025,31,F,New York,2025-06-14,184,Standard,14.99,Debit Card,8,8,26,24.4,31.2,16,0,1,2.6,4.2,15,0.67,1,0,0,1,3,0.889,0.465,0,1,0,0.743,1,2025-12-15
CUST_000026,42,M,San Jose,2025-11-15,30,Basic,9.99,Bank Transfer,2,15,39,14.0,6.1,17,2,0,3.7,4.7,10,0.2,0,0,0,1,11,0.125,0.295,0,0,0,0.416,0,2025-12-15
CUST_000027,24,M,Houston,2025-04-01,258,Standard,14.99,Credit Card,2,10,30,56.7,38.3,20,0,0,4.2,5.0,12,0.62,0,0,0,1,23,0.182,0.534,0,0,0,0.414,0,2025-12-15
CUST_000028,36,F,San Jose,2025-08-19,118,Basic,9.99,Credit Card,0,14,31,103.1,13.3,9,0,0,4.0,4.0,7,0.55,0,0,0,1,14,0.0,0.366,0,0,0,0.504,0,2025-12-15
CUST_000029,38,M,Chicago,2025-09-26,80,Standard,14.99,Credit Card,5,11,35,10.5,27.8,20,7,0,3.6,5.0,17,0.55,0,0,0,1,9,0.417,0.467,0,0,0,0.397,0,2025-12-15
CUST_000030,18,M,Phoenix,2025-06-29,169,Basic,9.99,PayPal,2,3,5,5.0,14.2,3,5,0,2.3,4.2,5,0.28,1,1,0,1,20,0.5,0.183,0,1,1,0.804,1,2025-12-15
CUST_000031,42,M,San Jose,2025-11-15,30,Basic,9.99,Credit Card,2,18,33,20.3,53.5,17,1,1,4.6,3.3,15,0.45,0,0,0,1,22,0.105,0.659,0,0,0,0.326,0,2025-12-15
CUST_000032,51,M,San Diego,2025-09-10,96,Basic,9.99,Debit Card,0,9,35,27.2,25.3,17,1,0,2.6,3.4,8,0.33,0,0,0,1,12,0.0,0.376,0,0,0,0.596,0,2025-12-15
CUST_000033,32,M,New York,2025-02-19,299,Premium,19.99,PayPal,1,4,4,5.0,26.8,8,5,4,4.0,1.9,6,0.24,1,0,1,0,20,0.2,0.281,1,1,1,0.713,1,2025-12-15
CUST_000034,51,F,Phoenix,2025-10-22,54,Basic,9.99,Credit Card,0,14,43,31.6,32.8,22,2,0,3.7,4.5,9,0.34,0,0,0,1,13,0.0,0.493,0,0,0,0.362,0,2025-12-15
CUST_000035,32,M,Phoenix,2024-09-30,441,Premium,19.99,Credit Card,0,4,12,20.9,55.4,25,0,0,4.2,4.1,12,0.73,0,0,0,1,29,0.0,0.618,0,0,1,0.498,0,2025-12-15
CUST_000036,45,M,Los Angeles,2025-07-02,166,Basic,9.99,Credit Card,2,5,24,57.2,21.0,26,9,0,4.2,3.2,9,0.56,0,0,0,1,23,0.333,0.392,0,0,0,0.587,0,2025-12-15
CUST_000037,18,F,Phoenix,2025-07-28,140,Standard,14.99,Debit Card,2,4,30,12.6,24.8,16,1,0,4.4,4.4,5,0.49,0,1,0,1,19,0.4,0.351,0,0,1,0.486,0,2025-12-15
CUST_000038,64,F,San Diego,2025-09-15,91,Basic,9.99,Debit Card,0,4,8,16.7,14.8,7,24,2,2.7,3.6,3,0.17,0,2,1,1,6,0.0,0.191,0,0,1,0.599,0,2025-12-15
CUST_000039,52,M,San Jose,2025-04-16,243,Standard,14.99,Credit Card,2,2,25,19.1,42.8,17,0,0,4.7,3.5,14,0.51,0,1,0,1,26,0.667,0.447,0,0,1,0.625,0,2025-12-15
CUST_000040,31,F,San Antonio,2025-07-19,149,Standard,14.99,Credit Card,1,8,29,5.7,43.8,24,0,0,5.0,3.5,14,0.5,0,1,0,1,25,0.111,0.539,0,0,0,0.366,0,2025-12-15
CUST_000041,18,F,Los Angeles,2025-03-04,286,Standard,14.99,Credit Card,1,1,5,9.7,10.5,9,10,1,2.7,3.3,6,0.26,4,1,1,0,12,0.5,0.161,0,1,1,0.829,1,2025-12-15
CUST_000042,38,F,Philadelphia,2025-10-04,72,Standard,14.99,Credit Card,3,11,38,5.0,34.5,15,2,2,3.2,4.5,10,0.39,0,0,0,1,29,0.25,0.455,0,0,0,0.569,0,2025-12-15
CUST_000043,18,M,San Jose,2025-05-12,217,Basic,9.99,Credit Card,1,1,7,13.0,5.3,14,24,1,1.5,1.8,2,0.17,0,1,0,1,30,0.5,0.132,0,0,1,0.735,1,2025-12-15
CUST_000044,40,F,New York,2024-07-16,517,Standard,14.99,Credit Card,0,1,10,36.5,30.5,23,3,0,3.9,3.4,16,0.37,0,0,0,1,25,0.0,0.359,0,0,1,0.612,0,2025-12-15
CUST_000045,39,F,San Jose,2025-10-17,59,Basic,9.99,PayPal,1,19,44,52.0,18.3,13,0,0,3.2,4.0,14,0.38,1,0,0,1,10,0.05,0.428,0,1,0,0.708,1,2025-12-15
CUST_000046,23,F,San Jose,2024-01-02,713,Basic,9.99,PayPal,0,2,11,14.6,29.2,19,0,1,4.1,3.8,13,0.4,0,0,1,1,14,0.0,0.351,0,0,1,0.518,0,2025-12-15
CUST_000047,48,M,Chicago,2025-09-11,95,Premium,19.99,Debit Card,3,12,33,34.4,17.8,20,0,0,5.0,4.3,8,0.37,0,0,0,1,16,0.231,0.381,0,0,0,0.501,0,2025-12-15
CUST_000048,44,F,Philadelphia,2025-11-15,30,Basic,9.99,PayPal,4,15,43,20.9,12.8,19,2,0,5.0,3.9,12,0.31,0,0,0,1,30,0.25,0.365,0,0,0,0.488,0,2025-12-15
CUST_000049,46,F,Dallas,2025-09-27,79,Basic,9.99,Debit Card,7,11,47,12.4,15.9,21,1,0,4.8,3.8,15,0.19,0,0,0,1,23,0.583,0.327,0,0,0,0.438,0,2025-12-15
CUST_000050,35,M,New York,2025-11-15,30,Standard,14.99,Credit Card,2,8,47,9.4,14.7,22,0,1,4.1,4.0,7,0.56,0,1,0,1,26,0.222,0.368,0,0,0,0.473,0,2025-12-15
CUST_000051,18,M,Philadelphia,2025-10-11,65,Basic,9.99,Debit Card,7,15,34,10.7,65.6,22,0,1,3.0,4.2,10,0.22,0,0,0,1,7,0.438,0.676,0,0,0,0.397,0,2025-12-15
CUST_000052,46,F,Los Angeles,2025-11-15,30,Premium,19.99,Bank Transfer,4,14,39,6.8,86.2,17,0,0,4.7,4.4,11,0.23,0,1,0,1,24,0.267,0.771,0,0,0,0.457,0,2025-12-15
CUST_000053,31,M,Dallas,2025-11-10,35,Premium,19.99,Credit Card,2,13,34,6.9,21.9,19,12,0,4.7,4.0,15,0.45,0,0,0,1,10,0.143,0.427,0,0,0,0.485,0,2025-12-15
CUST_000054,18,F,Los Angeles,2025-11-15,30,Basic,9.99,Bank Transfer,5,13,34,21.0,28.9,21,0,0,4.4,4.9,11,0.48,0,0,0,1,20,0.357,0.483,0,0,0,0.356,0,2025-12-15
CUST_000055,51,M,Chicago,2025-11-15,30,Premium,19.99,Debit Card,1,17,40,20.9,58.2,20,7,0,3.2,4.4,7,0.34,0,0,0,1,21,0.056,0.667,0,0,0,0.366,0,2025-12-15
CUST_000056,60,M,Los Angeles,2025-10-13,63,Basic,9.99,Debit Card,4,13,37,26.6,11.1,23,1,0,5.0,3.7,18,0.61,0,0,0,1,21,0.286,0.411,0,0,0,0.438,0,2025-12-15
CUST_000057,34,F,Houston,2024-07-24,509,Standard,14.99,Debit Card,0,1,3,5.0,13.8,9,4,1,3.0,2.6,4,0.22,0,2,0,1,8,0.0,0.173,0,0,1,0.657,0,2025-12-15
CUST_000058,60,M,Houston,2024-06-26,537,Premium,19.99,Credit Card,0,5,9,36.6,7.2,27,9,0,4.0,4.3,9,0.59,0,0,0,1,28,0.0,0.319,0,0,0,0.461,0,2025-12-15
CUST_000059,36,Other,San Jose,2025-01-12,337,Basic,9.99,PayPal,1,3,3,8.4,14.8,4,1,0,2.9,2.9,4,0.18,1,1,1,0,26,0.25,0.171,0,1,1,0.906,1,2025-12-15
CUST_000060,30,F,New York,2025-11-15,30,Basic,9.99,Bank Transfer,8,13,44,52.6,16.6,27,0,1,4.3,3.7,10,0.52,0,0,0,1,19,0.571,0.442,0,0,0,0.501,0,2025-12-15
CUST_000061,27,F,San Diego,2025-11-15,30,Standard,14.99,Bank Transfer,3,21,34,15.6,33.2,23,2,4,3.6,4.4,12,0.42,0,0,0,0,1,0.136,0.585,1,0,0,0.363,0,2025-12-15
CUST_000062,54,F,Phoenix,2025-11-15,30,Basic,9.99,Credit Card,2,14,49,63.0,58.7,25,2,1,4.0,4.0,13,0.38,1,0,0,0,14,0.133,0.668,0,1,0,0.662,0,2025-12-15
CUST_000063,25,F,San Diego,2025-09-24,82,Basic,9.99,Debit Card,1,14,40,10.7,20.9,23,1,1,3.7,4.6,13,0.73,1,1,0,1,11,0.067,0.503,0,1,0,0.552,0,2025-12-15
